table_num,TABLE_NAME,category_num,year,Units,value_added,imports,total,CATEGORY_DESC
4,Food and beverage dollar,12,6/15/05,million 2009 dollars,13065.21,438.11,13519.17,Advertising
4,Food and beverage dollar,13,6/15/05,million 2009 dollars,4380.48,66.19,4433.04,Legal & accounting
4,Food and beverage dollar,14,6/15/05,million 2009 dollars,0,0,539092.9,Total food dollar
4,Food and beverage dollar,15,6/15/05,million 2009 dollars,0,0,506765.8,Domestic food dollar
4,Food and beverage dollar,16,6/15/05,million 2009 dollars,0,0,80307.42,Farm share
5,Home food and beverage dollar,1,6/15/05,million 2009 dollars,288067.9,13273.22,305630.21,Total
5,Home food and beverage dollar,2,6/15/05,million 2009 dollars,10318.71,1187.28,11527.66,Agribusiness
5,Home food and beverage dollar,3,6/15/05,million 2009 dollars,32669.15,2667.25,35260.66,Farm production
5,Home food and beverage dollar,4,6/15/05,million 2009 dollars,81615.89,4110.64,85270.66,Food processing
5,Home food and beverage dollar,5,6/15/05,million 2009 dollars,14213.42,2839.88,17500.89,Packaging
5,Home food and beverage dollar,6,6/15/05,million 2009 dollars,13417.17,739.75,14021.93,Transportation
5,Home food and beverage dollar,7,6/15/05,million 2009 dollars,52393.21,-658.22,51707.18,Wholesale trade
5,Home food and beverage dollar,8,6/15/05,million 2009 dollars,80711.44,1031.32,81807.69,Retail trade
5,Home food and beverage dollar,9,6/15/05,million 2009 dollars,294.92,3.33,290.1,Foodservices
5,Home food and beverage dollar,10,6/15/05,million 2009 dollars,6200.6,829.12,7042.44,Energy
5,Home food and beverage dollar,11,6/15/05,million 2009 dollars,12123.49,223.67,12342.32,Finance & Insurance
5,Home food and beverage dollar,12,6/15/05,million 2009 dollars,8329.57,279.23,8619,Advertising
5,Home food and beverage dollar,13,6/15/05,million 2009 dollars,2807.76,42.68,2840.49,Legal & accounting
5,Home food and beverage dollar,14,6/15/05,million 2009 dollars,0,0,333571.15,Total food dollar
5,Home food and beverage dollar,15,6/15/05,million 2009 dollars,0,0,316009.32,Domestic food dollar
5,Home food and beverage dollar,16,6/15/05,million 2009 dollars,0,0,61671.02,Farm share
6,Away food and beverage dollar,1,6/15/05,million 2009 dollars,167439.22,5509.14,175517.74,Total
6,Away food and beverage dollar,2,6/15/05,million 2009 dollars,3276.96,420.28,3712.65,Agribusiness
6,Away food and beverage dollar,3,6/15/05,million 2009 dollars,10477.49,1071.04,11534.58,Farm production
6,Away food and beverage dollar,4,6/15/05,million 2009 dollars,19054.92,951.15,20034.15,Food processing
6,Away food and beverage dollar,5,6/15/05,million 2009 dollars,5335.73,1113.57,6529.23,Packaging
6,Away food and beverage dollar,6,6/15/05,million 2009 dollars,4075.99,243.55,4277.71,Transportation
6,Away food and beverage dollar,7,6/15/05,million 2009 dollars,16191.75,-203.4,15979.76,Wholesale trade
6,Away food and beverage dollar,8,6/15/05,million 2009 dollars,597.38,7.63,605.49,Retail trade
6,Away food and beverage dollar,9,6/15/05,million 2009 dollars,101532.33,1095.17,99108.11,Foodservices
6,Away food and beverage dollar,10,6/15/05,million 2009 dollars,3957.49,392.95,4330.21,Energy
6,Away food and beverage dollar,11,6/15/05,million 2009 dollars,6101.11,113.58,6210.71,Finance & Insurance
