YEAR,MONTH,SUPPLIER,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
2017,6,BACCHUS IMPORTERS LTD,162922,CHARLES DE FERE ROSE DRY - 750ML,WINE,0.00,0.00,1.00
2017,6,BACCHUS IMPORTERS LTD,163023,OXFORD LANDING VIOG - 750ML,WINE,0.00,0.00,2.00
2017,6,DIONYSOS IMPORTS INC,163074,DEU LE DEU ALVARINHO - 750ML,WINE,0.00,0.00,1.00
2017,6,LANTERNA DISTRIBUTORS INC,163090,DUCK POND P/GRIS - 750ML,WINE,0.57,1.00,3.00
2017,6,MONSIEUR TOUTON SELECTION,16314,DOMINO DE UGARTE RES RIOJA - 750ML,WINE,0.16,0.00,0.00
2017,6,PUNTO VINO LLC,163180,BEGALI VALP CL SUP - 750ML,WINE,0.08,0.00,7.00
2017,6,TREASURY WINE ESTATES AMERICAS COMPANY,16330,PENFOLDS MAGIL EST SHZ - 750ML,WINE,0.17,0.00,0.00
2017,6,TREASURY WINE ESTATES AMERICAS COMPANY,16349,PENFOLDS ST HENRI SHZ - 750ML,WINE,0.17,0.00,0.00
2017,6,BACCHUS IMPORTERS LTD,163538,ANDRE BRUNEL CDP - 750ML,WINE,0.08,1.00,0.00
2017,6,WILSON DANIELS LTD,16357,SCHRAMSBERG CREMANT DESSERT - 750ML,WINE,0.32,0.00,0.00
2017,6,AMERICAN FIDELITY TRADING,163589,KSARA RES DU COUVENT RED - 750ML,WINE,0.32,0.00,2.00
2017,6,JIM BEAM BRANDS CO,16365,SAUZA TEQ - SILVER - 1L,LIQUOR,2.58,3.00,16.92
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,163716,MANISCHEWITZ CHERRY - 1.5L,WINE,0.17,0.00,1.00
2017,6,BACCHUS IMPORTERS LTD,16373,GOATS DO ROAM RED - 750ML,WINE,4.58,4.00,5.00
2017,6,AMERICAN FIDELITY TRADING,163740,KSARA BDB - 750ML,WINE,0.00,0.00,3.00
2017,6,PROXIMO SPIRITS INC,16390,JOSE CUERVO GOLD TEQUILA - 50ML,LIQUOR,7.99,7.00,0.00
2017,6,DOPS INC,163996,PEDRONCELLI EAST SIDE S/BLC - 750ML,WINE,0.00,0.00,3.00
2017,6,PRESTIGE BEVERAGE GROUP OF MD LLC,16403,LOUIS BERNARD CDP - 750ML,WINE,0.08,0.00,0.00
2017,6,PERNOD RICARD USA LLC,16420,JAMESON IRISH WHISKEY - 375ML,LIQUOR,16.00,12.00,0.00
2017,6,SOUTHERN GLAZERS WINE AND SPIRITS,164330,EL COTO RIOJA CRIANZA - 750ML,WINE,2.93,3.00,5.00
2017,6,BACARDI USA INC,164496,BACARDI RUM - LIGHT - 100ML,LIQUOR,0.44,1.00,0.00
2017,6,BACARDI USA INC,164593,BACARDI RUM - GOLD - 100ML,LIQUOR,0.54,0.00,0.00
2017,6,BOUTIQUE VINEYARDS LLC,164992,DREYER COMPASS MER - 750ML,WINE,0.00,0.00,2.00
2017,6,THE EDRINGTON GROUP USA LLC,16500,MACALLAN 18YR SHERRY OAK - 750ML,LIQUOR,3.45,0.00,0.00
2017,6,JIM BEAM BRANDS CO,16519,SAUZA TRES GEN ANEJO - 750ML,LIQUOR,22.73,21.00,1.00
2017,6,WILLIAM HARRISON IMPORTS,165328,L TRAMIER & FILS RED BURG - 750ML,WINE,0.00,0.00,1.00
2017,6,DOPS INC,16543,FESS PARKER VIOG - 750ML,WINE,0.75,1.00,0.00
2017,6,CAMPARI AMERICA LLC,165492,WRAY & NEPHEW RUM WHITE 126P - 375ML,LIQUOR,1.08,0.00,2.00
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,16551,MERRYVALE STARMONT CHARD - 750ML,WINE,0.24,0.00,0.00
2017,6,MONSIEUR TOUTON SELECTION,16560,MARTIN CENDOYA RED RES - 750ML,WINE,0.75,2.00,0.00
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,166340,DOMINO CAL CAB - 750ML,WINE,0.00,0.00,1.00
